@relation freqclass
@ATTRIBUTE id INTEGER
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE r {0,1}
@DATA
311000, 0.00081, 0.00077, 0.00256, 0.00000, 0.00922, 0.00077, 0.00077, 0.00077, 0.00410, 0.00410, 0.00922, 0.00077, 0.00410, 0.00077, 0.01382, 0.00077, 0.00077, 0.00077, 0.00081, 0.04608, 0.00081, 0.00410, 0.00410, 0.00081, 0.00922, 0.00081, 0.00081, 0.00081, 0.00410, 0.00077, 0.00256, 0.00081, 0.00000, 0.00081, 0.00256, 0.00000, 0.00081, 0.00410, 0.00077, 0.00081, 0.00081, 0.00077, 0.00000, 0.00081, 0.00410, 0.00081, 0.00081, 0.00081, 0.00410, 0.00081, 0
311001, 0.00071, 0.00071, 0.00545, 0.01455, 0.00303, 0.00071, 0.00303, 0.00283, 0.00071, 0.00545, 0.00303, 0.00283, 0.00283, 0.00312, 0.00000, 0.00283, 0.00312, 0.00283, 0.00071, 0.00000, 0.00071, 0.00312, 0.00283, 0.00312, 0.00071, 0.00071, 0.00071, 0.00071, 0.00312, 0.00545, 0.00545, 0.00071, 0.00312, 0.00071, 0.00283, 0.00312, 0.00283, 0.00071, 0.00071, 0.00071, 0.00071, 0.00071, 0.00000, 0.00071, 0.00071, 0.00283, 0.00071, 0.00071, 0.00071, 0.00071, 0
3110010, 0.00237, 0.00000, 0.00000, 0.00237, 0.00436, 0.00237, 0.00909, 0.00237, 0.00436, 0.00000, 0.00237, 0.00000, 0.00000, 0.00237, 0.00237, 0.00237, 0.00436, 0.00436, 0.00436, 0.00436, 0.00237, 0.00436, 0.00000, 0.00436, 0.00000, 0.00237, 0.00237, 0.00436, 0.00000, 0.00436, 0.00237, 0.00436, 0.00237, 0.00237, 0.00237, 0.00237, 0.00909, 0.00436, 0.00000, 0.00237, 0.00237, 0.00436, 0.00237, 0.00237, 0.00000, 0.00436, 0.00237, 0.00436, 0.00237, 0.00237, 0
31100100, 0.00282, 0.00282, 0.00282, 0.00221, 0.00282, 0.00282, 0.00282, 0.00000, 0.00000, 0.00949, 0.00949, 0.00000, 0.00221, 0.00282, 0.00221, 0.00282, 0.00221, 0.00949, 0.00221, 0.00221, 0.00221, 0.00949, 0.00221, 0.00221, 0.00221, 0.00221, 0.00282, 0.00949, 0.00221, 0.00221, 0.00282, 0.00221, 0.00221, 0.00221, 0.00221, 0.00221, 0.00282, 0.00221, 0.00282, 0.00221, 0.00221, 0.00000, 0.00221, 0.00282, 0.00221, 0.00282, 0.02372, 0.00221, 0.00000, 0.00221, 0
31100101, 0.00454, 0.00341, 0.00341, 0.00075, 0.01635, 0.00327, 0.00075, 0.00341, 0.00327, 0.00075, 0.00454, 0.00075, 0.00000, 0.00327, 0.00075, 0.00075, 0.00075, 0.01635, 0.00075, 0.00341, 0.00075, 0.00341, 0.00075, 0.00075, 0.00075, 0.00075, 0.00075, 0.00075, 0.00075, 0.00075, 0.00341, 0.00327, 0.00454, 0.00000, 0.00075, 0.00075, 0.00075, 0.00341, 0.00075, 0.00075, 0.00075, 0.00075, 0.00075, 0.00341, 0.00075, 0.00075, 0.00327, 0.00075, 0.00000, 0.00075, 0
31100102, 0.00754, 0.00194, 0.01357, 0.00094, 0.00094, 0.00317, 0.00194, 0.00094, 0.00094, 0.00094, 0.00679, 0.00317, 0.00317, 0.00194, 0.00094, 0.00194, 0.00094, 0.00094, 0.00194, 0.00679, 0.00094, 0.00317, 0.01357, 0.00194, 0.00094, 0.00094, 0.00094, 0.00754, 0.00317, 0.00754, 0.00317, 0.00317, 0.00094, 0.00094, 0.00317, 0.00094, 0.00094, 0.00094, 0.00317, 0.00094, 0.00094, 0.00094, 0.00094, 0.00317, 0.00194, 0.00094, 0.00000, 0.00094, 0.00000, 0.00094, 0
31100103, 0.00476, 0.00000, 0.00059, 0.00476, 0.00476, 0.00476, 0.00476, 0.00038, 0.00476, 0.00059, 0.00059, 0.00059, 0.00059, 0.00038, 0.00059, 0.00038, 0.00038, 0.00476, 0.00000, 0.00038, 0.00059, 0.00059, 0.00038, 0.00059, 0.00059, 0.00059, 0.00059, 0.00038, 0.00476, 0.00059, 0.00038, 0.00059, 0.00059, 0.00059, 0.00038, 0.00038, 0.00038, 0.00038, 0.00059, 0.00059, 0.00059, 0.00059, 0.00059, 0.00059, 0.01318, 0.00476, 0.00038, 0.00059, 0.00059, 0.00059, 0
31100104, 0.00000, 0.00000, 0.00191, 0.00055, 0.00055, 0.00055, 0.00115, 0.00055, 0.00055, 0.01433, 0.00860, 0.00055, 0.00191, 0.00191, 0.00055, 0.00055, 0.00322, 0.00055, 0.00000, 0.00055, 0.00055, 0.00115, 0.00115, 0.00115, 0.00055, 0.00055, 0.00115, 0.00000, 0.00055, 0.00322, 0.00322, 0.00115, 0.00055, 0.00055, 0.00115, 0.00055, 0.00055, 0.00055, 0.00115, 0.00055, 0.00055, 0.00860, 0.00055, 0.00322, 0.00115, 0.00055, 0.00115, 0.00055, 0.00055, 0.00055, 0
31100105, 0.00216, 0.00270, 0.00064, 0.00064, 0.00064, 0.00064, 0.00216, 0.00064, 0.00064, 0.00064, 0.00064, 0.00064, 0.00216, 0.00270, 0.00064, 0.00064, 0.00270, 0.00216, 0.00000, 0.00064, 0.00064, 0.00721, 0.00216, 0.00270, 0.00064, 0.00064, 0.00064, 0.00000, 0.00216, 0.00721, 0.00064, 0.00064, 0.00064, 0.00064, 0.00216, 0.00064, 0.00064, 0.00270, 0.00216, 0.00064, 0.00064, 0.00721, 0.00064, 0.00064, 0.00216, 0.00216, 0.00000, 0.00270, 0.00064, 0.00064, 0
31100106, 0.00218, 0.00000, 0.00133, 0.00000, 0.00133, 0.00000, 0.00467, 0.00218, 0.00218, 0.00218, 0.00133, 0.00133, 0.00218, 0.00133, 0.00133, 0.00218, 0.00218, 0.00133, 0.00467, 0.00133, 0.00133, 0.00467, 0.00218, 0.00133, 0.00133, 0.00133, 0.00218, 0.00467, 0.00218, 0.00467, 0.00133, 0.00133, 0.00133, 0.00000, 0.00218, 0.00000, 0.00133, 0.00000, 0.00133, 0.00133, 0.00133, 0.00467, 0.00133, 0.00218, 0.00218, 0.00218, 0.00133, 0.00467, 0.00133, 0.00133, 0
