@relation freqclass
@ATTRIBUTE id INTEGER
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE r {0,1}
@DATA
311000, 0, 0.00307, 0.00614, 0.01536, 0.00461, 0.00307, 0.00307, 0.00307, 0.00154, 0.00154, 0.00768, 0.00307, 0.00154, 0.00307, 0.01229, 0.00307, 0.00307, 0.00307, 0, 0.01382, 0, 0.00154, 0.00154, 0, 0.00461, 0, 0, 0, 0.00154, 0.00307, 0.00614, 0, 0.00922, 0, 0.00614, 0.01536, 0, 0.00154, 0.00307, 0, 0, 0.00307, 0.01536, 0, 0.00154, 0, 0, 0, 0.00154, 0, 0
311001, 0, 0, 0.00545, 0.01273, 0.00727, 0, 0.00727, 0.00182, 0, 0.00545, 0.00727, 0.00182, 0.00182, 0.00364, 0.02000, 0.00182, 0.00364, 0.00182, 0, 0.01455, 0, 0.00364, 0.00182, 0.00364, 0, 0, 0, 0, 0.00364, 0.00545, 0.00545, 0, 0.00364, 0, 0.00182, 0.00364, 0.00182, 0, 0, 0, 0, 0, 0.00909, 0, 0, 0.00182, 0, 0, 0, 0, 0
3110010, 0, 0.00727, 0.00727, 0, 0.00364, 0, 0.01455, 0, 0.00364, 0.00727, 0, 0.00727, 0.00727, 0, 0, 0, 0.00364, 0.00364, 0.00364, 0.00364, 0, 0.00364, 0.00727, 0.00364, 0.01818, 0, 0, 0.00364, 0.00727, 0.00364, 0, 0.00364, 0, 0, 0, 0, 0.01455, 0.00364, 0.00727, 0, 0, 0.00364, 0, 0, 0.00727, 0.00364, 0, 0.00364, 0, 0, 0
31100100, 0.00395, 0.00395, 0.00395, 0, 0.00395, 0.00395, 0.00395, 0.01186, 0.01186, 0.00791, 0.00791, 0.01186, 0, 0.00395, 0, 0.00395, 0, 0.00791, 0, 0, 0, 0.00791, 0, 0, 0, 0, 0.00395, 0.00791, 0, 0, 0.00395, 0, 0, 0, 0, 0, 0.00395, 0, 0.00395, 0, 0, 0.01186, 0, 0.00395, 0, 0.00395, 0.01976, 0, 0.02372, 0, 0
31100101, 0.01090, 0.00272, 0.00272, 0, 0.00817, 0.00545, 0, 0.00272, 0.00545, 0, 0.01090, 0, 0.01362, 0.00545, 0, 0, 0, 0.00817, 0, 0.00272, 0, 0.00272, 0, 0, 0, 0, 0, 0, 0, 0, 0.00272, 0.00545, 0.01090, 0.01907, 0, 0, 0, 0.00272, 0, 0, 0, 0, 0, 0.00272, 0, 0, 0.00545, 0, 0.01907, 0, 0
31100102, 0.00905, 0.00452, 0.00679, 0, 0, 0.00226, 0.00452, 0, 0, 0, 0.01131, 0.00226, 0.00226, 0.00452, 0, 0.00452, 0, 0, 0.00452, 0.01131, 0, 0.00226, 0.00679, 0.00452, 0, 0, 0, 0.00905, 0.00226, 0.00905, 0.00226, 0.00226, 0, 0, 0.00226, 0, 0, 0, 0.00226, 0, 0, 0, 0, 0.00226, 0.00452, 0, 0.01357, 0, 0.01810, 0, 0
31100103, 0.00165, 0.00659, 0, 0.00165, 0.00165, 0.00165, 0.00165, 0.00329, 0.00165, 0, 0, 0, 0, 0.00329, 0, 0.00329, 0.00329, 0.00165, 0.00659, 0.00329, 0, 0, 0.00329, 0, 0, 0, 0, 0.00329, 0.00165, 0, 0.00329, 0, 0, 0, 0.00329, 0.00329, 0.00329, 0.00329, 0, 0, 0, 0, 0, 0, 0.00494, 0.00165, 0.00329, 0, 0, 0, 0
31100104, 0.00860, 0.00860, 0.00430, 0, 0, 0, 0.00143, 0, 0, 0.00573, 0.00716, 0, 0.00430, 0.00430, 0, 0, 0.00287, 0, 0.01433, 0, 0, 0.00143, 0.00143, 0.00143, 0, 0, 0.00143, 0.01146, 0, 0.00287, 0.00287, 0.00143, 0, 0, 0.00143, 0, 0, 0, 0.00143, 0, 0, 0.00716, 0, 0.00287, 0.00143, 0, 0.00143, 0, 0, 0, 0
31100105, 0.00180, 0.00360, 0, 0, 0, 0, 0.00180, 0, 0, 0, 0, 0, 0.00180, 0.00360, 0, 0, 0.00360, 0.00180, 0.00721, 0, 0, 0.00541, 0.00180, 0.00360, 0, 0, 0, 0.00721, 0.00180, 0.00541, 0, 0, 0, 0, 0.00180, 0, 0, 0.00360, 0.00180, 0, 0, 0.00541, 0, 0, 0.00180, 0.00180, 0.00721, 0.00360, 0, 0, 0
31100106, 0.00218, 0.00654, 0, 0.00654, 0, 0.00654, 0.00436, 0.00218, 0.00218, 0.00218, 0, 0, 0.00218, 0, 0, 0.00218, 0.00218, 0, 0.00436, 0, 0, 0.00436, 0.00218, 0, 0, 0, 0.00218, 0.00436, 0.00218, 0.00436, 0, 0, 0, 0.01307, 0.00218, 0.00654, 0, 0.00654, 0, 0, 0, 0.00436, 0, 0.00218, 0.00218, 0.00218, 0, 0.00436, 0, 0, 0
31100107, 0.01534, 0.00920, 0.00307, 0.00307, 0.00613, 0.00307, 0.00613, 0, 0.00307, 0.00613, 0.00613, 0, 0.00613, 0, 0, 0.00613, 0.00613, 0.00613, 0.00613, 0.00920, 0, 0, 0, 0.00307, 0, 0, 0, 0.00920, 0, 0, 0.00307, 0, 0, 0, 0, 0.00920, 0, 0.00307, 0.00307, 0, 0, 0.00613, 0, 0, 0.00613, 0, 0, 0.00307, 0, 0, 0
31100108, 0.01401, 0.00560, 0, 0, 0.00280, 0, 0.00840, 0.00280, 0, 0, 0.00560, 0, 0.00280, 0.00280, 0, 0.00560, 0.00280, 0, 0.00280, 0.00560, 0, 0, 0, 0, 0.00840, 0, 0, 0.00280, 0, 0.00560, 0.00280, 0, 0.00560, 0.00280, 0.00280, 0, 0, 0.00280, 0, 0, 0, 0, 0, 0.00280, 0.00560, 0.00840, 0, 0, 0, 0, 0
31100109, 0.01335, 0.00445, 0.00297, 0, 0.00445, 0.00148, 0, 0, 0, 0.00297, 0.00445, 0, 0.00148, 0.00148, 0, 0, 0.00593, 0.00297, 0.02077, 0.00593, 0, 0.00148, 0.00297, 0.00297, 0.00297, 0, 0, 0, 0.00297, 0.00445, 0.00148, 0, 0, 0, 0, 0.00445, 0.00297, 0, 0.00297, 0, 0, 0.00890, 0, 0.00148, 0.00445, 0, 0, 0.00148, 0, 0, 0
3110011, 0.01127, 0, 0, 0, 0, 0, 0.00563, 0.01127, 0, 0.00563, 0, 0, 0.01127, 0, 0, 0.00282, 0.00563, 0.00282, 0.00845, 0.00282, 0, 0, 0, 0.01127, 0, 0, 0, 0.00563, 0, 0.00282, 0, 0.00282, 0.00845, 0.00282, 0.00563, 0.01408, 0, 0, 0.00563, 0, 0, 0.00563, 0, 0.00563, 0.00282, 0, 0.00563, 0.00563, 0.00282, 0, 0
31100110, 0.00170, 0.00679, 0, 0, 0, 0.00679, 0.00340, 0, 0.00170, 0.00340, 0.00509, 0, 0, 0.00340, 0, 0, 0.00170, 0, 0.00340, 0.00170, 0, 0.00340, 0.00340, 0.00170, 0.00170, 0, 0, 0.00170, 0, 0.00170, 0.00509, 0, 0.00340, 0, 0.00170, 0, 0.00170, 0, 0, 0, 0, 0.00340, 0, 0, 0.00849, 0, 0.00170, 0.00679, 0, 0, 0
31100111, 0.00322, 0, 0.00322, 0, 0, 0.00322, 0, 0, 0, 0.00322, 0, 0, 0, 0.00643, 0, 0, 0.00643, 0, 0.03215, 0.00643, 0, 0, 0, 0.00643, 0.00965, 0, 0.00322, 0, 0, 0, 0, 0, 0.00322, 0, 0.00322, 0, 0, 0, 0, 0, 0, 0.00322, 0, 0, 0.00643, 0, 0.00322, 0, 0, 0, 0
31100112, 0.00512, 0.00256, 0.00256, 0, 0.00256, 0.00767, 0.00767, 0, 0, 0.00512, 0, 0.00256, 0, 0.00256, 0, 0, 0, 0.00512, 0.00512, 0.01023, 0, 0.00256, 0.00256, 0.00256, 0.00512, 0, 0, 0, 0.00256, 0.00256, 0, 0.00256, 0, 0, 0, 0, 0.00512, 0, 0.00256, 0, 0, 0.00512, 0, 0, 0.00512, 0, 0.00512, 0.00256, 0, 0, 0
31100113, 0.00491, 0.00491, 0.00246, 0, 0.00491, 0.00491, 0, 0.00491, 0.00246, 0.00246, 0.00983, 0.00491, 0.00983, 0.00737, 0, 0, 0.00246, 0.00246, 0.00246, 0.00491, 0, 0.00491, 0.00246, 0.00246, 0, 0, 0.01229, 0.00491, 0.00246, 0, 0, 0.00246, 0.00246, 0.00491, 0, 0, 0, 0.00246, 0, 0, 0, 0.00246, 0, 0.00246, 0.00246, 0.00246, 0.00491, 0.00491, 0.01474, 0, 0
31100114, 0.00870, 0.00290, 0.01159, 0, 0.00870, 0.00290, 0.00870, 0.00290, 0.00290, 0.00580, 0.00290, 0, 0, 0, 0, 0.00580, 0, 0.00580, 0, 0.00870, 0, 0.00580, 0, 0.00580, 0.00290, 0, 0.00870, 0.00290, 0, 0, 0.00870, 0, 0.00580, 0.00290, 0.00870, 0, 0, 0.00290, 0.00580, 0, 0, 0.00290, 0, 0.00290, 0, 0, 0.00580, 0, 0.02319, 0, 0
31100115, 0.00517, 0.01550, 0, 0.01034, 0, 0.02067, 0.00517, 0.00258, 0.00517, 0, 0, 0, 0, 0.00517, 0.00258, 0.00775, 0.00517, 0.00775, 0.00258, 0.01034, 0, 0.00258, 0.00258, 0, 0, 0, 0.00258, 0, 0.00258, 0, 0, 0, 0, 0, 0, 0.00517, 0.00258, 0.00258, 0, 0, 0, 0, 0, 0, 0.00517, 0.00258, 0.00258, 0.00775, 0.00517, 0, 0
31100116, 0, 0.00847, 0.00212, 0.00212, 0.00212, 0.01059, 0.00636, 0, 0.00212, 0.00424, 0.00212, 0.00212, 0.00424, 0.00212, 0, 0.00212, 0.01271, 0, 0.01271, 0, 0, 0.00212, 0, 0, 0, 0, 0.00636, 0.00424, 0.00847, 0.00212, 0.00212, 0, 0, 0.00212, 0, 0.00212, 0.00212, 0.00424, 0, 0, 0, 0, 0, 0.00212, 0, 0, 0.00212, 0.00212, 0.00212, 0, 0
31100117, 0.00870, 0.02029, 0.00580, 0, 0.00290, 0.00580, 0.00290, 0, 0.00290, 0, 0, 0.00290, 0.00580, 0.02029, 0, 0, 0, 0, 0.00290, 0, 0, 0, 0.00290, 0, 0, 0, 0.00580, 0.00290, 0.00580, 0, 0.00290, 0.00290, 0, 0.00290, 0.00290, 0, 0.00290, 0.00290, 0.00580, 0, 0, 0.00290, 0, 0, 0.00580, 0.00580, 0.00290, 0, 0.00870, 0, 0
31100118, 0.00258, 0.01034, 0.00517, 0.00258, 0, 0.00258, 0, 0.00258, 0, 0.01034, 0, 0.00775, 0.00517, 0.00517, 0, 0, 0, 0.00258, 0.00258, 0.01292, 0, 0.00258, 0.00517, 0.00258, 0.00258, 0, 0, 0.01034, 0.00775, 0, 0.00258, 0.00517, 0, 0, 0.00258, 0, 0.00517, 0, 0.00517, 0, 0, 0.00517, 0, 0.00258, 0.00775, 0, 0.00258, 0.00258, 0.00258, 0, 0
31100119, 0, 0.00683, 0.00228, 0, 0.00228, 0.00456, 0.00228, 0, 0.00456, 0.00228, 0.00911, 0.00456, 0.00456, 0.00228, 0, 0, 0.00911, 0.00228, 0.00911, 0.00228, 0, 0.00683, 0.00456, 0.00228, 0.00228, 0, 0.00228, 0.00683, 0.00456, 0.00456, 0.00456, 0.00228, 0, 0, 0.00456, 0, 0.00683, 0, 0, 0, 0, 0, 0, 0.00456, 0.01595, 0.00911, 0.00228, 0.00456, 0, 0, 0
3110012, 0.01050, 0.02100, 0.00262, 0, 0.00525, 0.01575, 0.01050, 0, 0.00262, 0.00525, 0, 0.00262, 0.00262, 0.00262, 0, 0.00525, 0, 0, 0, 0, 0, 0, 0, 0.00525, 0, 0, 0, 0, 0.00787, 0.00525, 0, 0.00262, 0.00525, 0, 0.00262, 0.01312, 0.00525, 0, 0, 0, 0, 0.00525, 0, 0.00262, 0.00787, 0.00262, 0.00525, 0, 0, 0, 0
31100120, 0.00169, 0.00846, 0, 0, 0, 0.00677, 0.00169, 0.00169, 0, 0.00677, 0.00338, 0, 0, 0.00338, 0, 0, 0.00508, 0.00338, 0, 0.00508, 0, 0, 0.00677, 0.00846, 0.00169, 0, 0.00169, 0.00508, 0.00508, 0.00169, 0.00508, 0.00338, 0, 0.00169, 0.00508, 0.00169, 0.00677, 0.00508, 0.00169, 0, 0, 0.00338, 0, 0.00169, 0.00677, 0.00338, 0.00508, 0, 0.00169, 0, 0
31100121, 0, 0.01253, 0.00835, 0.00209, 0.00418, 0.00418, 0.01044, 0, 0.00209, 0.01044, 0.00626, 0.00835, 0.00418, 0.00626, 0, 0.00626, 0.00418, 0.00209, 0.00209, 0, 0, 0.00835, 0.00418, 0.00418, 0.00626, 0, 0.00418, 0.00209, 0, 0.00209, 0, 0, 0, 0, 0, 0.00418, 0.00418, 0.00209, 0, 0, 0, 0.00418, 0, 0, 0, 0.00209, 0.00626, 0.00209, 0, 0, 0
31100122, 0.00290, 0.02029, 0.01159, 0.00290, 0.00580, 0.00580, 0.00870, 0.00290, 0, 0.00290, 0.00870, 0.00290, 0, 0, 0, 0.00580, 0.00290, 0, 0.00870, 0.00290, 0, 0.00290, 0.00290, 0.00290, 0.00580, 0, 0, 0, 0.00580, 0, 0.00290, 0, 0, 0, 0, 0, 0.01449, 0, 0.00290, 0, 0, 0, 0, 0.00290, 0.00290, 0, 0.00290, 0, 0, 0, 0
31100123, 0.00701, 0.00701, 0, 0, 0.00525, 0.00175, 0.00175, 0.00175, 0, 0.00175, 0.00350, 0, 0, 0.00350, 0.00175, 0.00350, 0.00350, 0.00701, 0, 0.01401, 0, 0, 0.00175, 0.00525, 0.00350, 0, 0, 0, 0, 0.00175, 0.00701, 0, 0, 0, 0, 0, 0, 0, 0.00350, 0, 0, 0.00175, 0, 0, 0.00350, 0.00350, 0.00350, 0, 0, 0, 0
31100124, 0.00177, 0.00355, 0.00355, 0, 0.00709, 0.00355, 0, 0, 0.00177, 0, 0, 0, 0.00532, 0.00532, 0, 0.00887, 0, 0.00177, 0, 0.00709, 0, 0.00177, 0.00532, 0.00177, 0.00177, 0, 0.00532, 0.00177, 0.00177, 0.00177, 0.00355, 0, 0, 0, 0, 0, 0.00532, 0.00709, 0.00355, 0, 0, 0, 0, 0.00355, 0.00355, 0.00177, 0.00355, 0, 0.00177, 0, 0
31100125, 0.01814, 0.00227, 0.00454, 0.01361, 0, 0, 0.00227, 0.01361, 0, 0.00454, 0.00680, 0.00227, 0, 0.00454, 0.01587, 0, 0.00227, 0.00680, 0, 0, 0.00454, 0, 0.00227, 0.00227, 0.00227, 0, 0.00907, 0, 0, 0.00227, 0.01134, 0.00227, 0.00454, 0.00227, 0.00227, 0.01587, 0.00227, 0.00227, 0, 0, 0.00227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31100126, 0.00509, 0.00763, 0.00509, 0.00509, 0, 0.00254, 0.00254, 0.02036, 0.01018, 0, 0.00254, 0.00763, 0.00763, 0.00509, 0.01781, 0, 0.00254, 0.00509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00254, 0, 0, 0.00254, 0, 0.00254, 0.01018, 0.00254, 0.00254, 0.00509, 0.00254, 0.00254, 0, 0, 0, 0, 0.00254, 0, 0.00254, 0, 0, 0.00254, 0, 0
31100127, 0.00247, 0.00494, 0.01728, 0.00988, 0, 0, 0.00494, 0.00247, 0.00741, 0.00247, 0.00494, 0, 0.00494, 0.00494, 0.01235, 0.00247, 0, 0, 0.00247, 0.00247, 0.00741, 0.01481, 0.00494, 0.00247, 0.00247, 0, 0, 0.00247, 0.00247, 0, 0.00494, 0.00247, 0.00247, 0, 0, 0.00741, 0.00988, 0.00247, 0.00247, 0, 0, 0.00247, 0, 0.00247, 0, 0.00247, 0, 0.00247, 0, 0, 0
