@relation freqclass
@ATTRIBUTE id INTEGER
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE r {0,1}
@DATA
311001, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0.00100, 0
3110010, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0.00133, 0
31100100, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0.00168, 0
31100101, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0.00200, 0
31100102, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0
31100103, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0.00169, 0
31100104, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0.00240, 0
31100105, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0.00198, 0
31100106, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0
31100107, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0.00138, 0
